alpha,total,prop_w,bpa_25,bpa_50,bpa_75,bpa_90,bpa_99,bbp_25,bbp_50,bbp_75,bbp_90,bbp_99
0.05,1000000,0.87,6e-06,9e-06,1.3e-05,2e-05,3.7e-05,5e-06,8e-06,1.2e-05,1.7e-05,3.7e-05
0.05,1000000,0.88,6e-06,9e-06,1.3e-05,1.6e-05,3.4e-05,5e-06,8e-06,1.1e-05,1.6e-05,3.3e-05
0.05,1000000,0.89,6e-06,9e-06,9e-06,1.7e-05,3.1e-05,5e-06,7e-06,1.1e-05,1.5e-05,3.3e-05
0.05,1000000,0.9,6e-06,6e-06,9e-06,1.7e-05,2.8e-05,5e-06,7e-06,1e-05,1.4e-05,2.8e-05
0.05,1000000,0.91,6e-06,6e-06,9e-06,1.3e-05,2.9e-05,5e-06,7e-06,1e-05,1.4e-05,2.8e-05
0.05,1000000,0.92,5e-06,5e-06,9e-06,1.3e-05,2.5e-05,5e-06,7e-06,9e-06,1.3e-05,2.4e-05
0.05,1000000,0.93,5e-06,5e-06,9e-06,1.4e-05,2.2e-05,4e-06,6e-06,9e-06,1.2e-05,2.4e-05
0.05,1000000,0.94,5e-06,5e-06,1e-05,1e-05,2.3e-05,4e-06,6e-06,9e-06,1.2e-05,2.4e-05
0.05,1000000,0.95,5e-06,5e-06,5e-06,1e-05,1.9e-05,4e-06,6e-06,8e-06,1.1e-05,2.1e-05
0.05,1000000,0.96,5e-06,5e-06,5e-06,1e-05,2e-05,4e-06,6e-06,8e-06,1e-05,2.1e-05
0.05,1000000,0.97,5e-06,5e-06,5e-06,1e-05,1.6e-05,4e-06,6e-06,8e-06,1e-05,2.1e-05
0.05,1000000,0.98,5e-06,5e-06,5e-06,5e-06,1.7e-05,4e-06,5e-06,7e-06,9e-06,1.8e-05
0.05,1000000,0.99,5e-06,5e-06,5e-06,5e-06,1.2e-05,4e-06,5e-06,7e-06,9e-06,1.4e-05
0.05,10000,0.51,0.694,1.0,1.0,1.0,1.0,0.2009,0.4129,0.5834,0.6927,0.8714
0.05,10000,0.52,0.1742,0.285,0.4754,0.7499,1.0,0.061,0.1508,0.2593,0.36,0.6382
0.05,10000,0.53,0.0778,0.127,0.212,0.3339,0.6827,0.0292,0.0739,0.1352,0.2002,0.4331
0.05,10000,0.54,0.0439,0.0717,0.1194,0.1881,0.3852,0.0171,0.0435,0.0812,0.1238,0.3009
0.05,10000,0.55,0.0282,0.0459,0.0767,0.1205,0.2466,0.0113,0.0287,0.0539,0.0833,0.2054
0.05,10000,0.56,0.0197,0.0321,0.0533,0.0838,0.1712,0.0081,0.0204,0.0383,0.0594,0.1548
